survived,pclass,age,sibsp,parch,fare,family_size,is_alone,fare_per_person,sex_male,embarked_Q,embarked_S
0,3,22.0,1,0,7.25,2,0,3.625,True,False,True
1,1,38.0,1,0,71.2833,2,0,35.64165,False,False,False
1,3,26.0,0,0,7.925,1,1,7.925,False,False,True
1,1,35.0,1,0,53.1,2,0,26.55,False,False,True
0,3,35.0,0,0,8.05,1,1,8.05,True,False,True
0,3,28.0,0,0,8.4583,1,1,8.4583,True,True,False
0,1,54.0,0,0,51.8625,1,1,51.8625,True,False,True
0,3,2.0,3,1,21.075,5,0,4.215,True,False,True
1,3,27.0,0,2,11.1333,3,0,3.7111,False,False,True
1,2,14.0,1,0,30.0708,2,0,15.0354,False,False,False
1,3,4.0,1,1,16.7,3,0,5.566666666666666,False,False,True
1,1,58.0,0,0,26.55,1,1,26.55,False,False,True
0,3,20.0,0,0,8.05,1,1,8.05,True,False,True
0,3,39.0,1,5,31.275,7,0,4.4678571428571425,True,False,True
0,3,14.0,0,0,7.8542,1,1,7.8542,False,False,True
1,2,55.0,0,0,16.0,1,1,16.0,False,False,True
0,3,2.0,4,1,29.125,6,0,4.854166666666667,True,True,False
1,2,28.0,0,0,13.0,1,1,13.0,True,False,True
0,3,31.0,1,0,18.0,2,0,9.0,False,False,True
1,3,28.0,0,0,7.225,1,1,7.225,False,False,False
0,2,35.0,0,0,26.0,1,1,26.0,True,False,True
1,2,34.0,0,0,13.0,1,1,13.0,True,False,True
1,3,15.0,0,0,8.0292,1,1,8.0292,False,True,False
1,1,28.0,0,0,35.5,1,1,35.5,True,False,True
0,3,8.0,3,1,21.075,5,0,4.215,False,False,True
1,3,38.0,1,5,31.3875,7,0,4.483928571428572,False,False,True
0,3,28.0,0,0,7.225,1,1,7.225,True,False,False
0,1,19.0,3,2,263.0,6,0,43.833333333333336,True,False,True
1,3,28.0,0,0,7.8792,1,1,7.8792,False,True,False
0,3,28.0,0,0,7.8958,1,1,7.8958,True,False,True
0,1,40.0,0,0,27.7208,1,1,27.7208,True,False,False
1,1,28.0,1,0,146.5208,2,0,73.2604,False,False,False
1,3,28.0,0,0,7.75,1,1,7.75,False,True,False
0,2,66.0,0,0,10.5,1,1,10.5,True,False,True
0,1,28.0,1,0,82.1708,2,0,41.0854,True,False,False
0,1,42.0,1,0,52.0,2,0,26.0,True,False,True
1,3,28.0,0,0,7.2292,1,1,7.2292,True,False,False
0,3,21.0,0,0,8.05,1,1,8.05,True,False,True
0,3,18.0,2,0,18.0,3,0,6.0,False,False,True
1,3,14.0,1,0,11.2417,2,0,5.62085,False,False,False
0,3,40.0,1,0,9.475,2,0,4.7375,False,False,True
0,2,27.0,1,0,21.0,2,0,10.5,False,False,True
0,3,28.0,0,0,7.8958,1,1,7.8958,True,False,False
1,2,3.0,1,2,41.5792,4,0,10.3948,False,False,False
1,3,19.0,0,0,7.8792,1,1,7.8792,False,True,False
0,3,28.0,0,0,8.05,1,1,8.05,True,False,True
0,3,28.0,1,0,15.5,2,0,7.75,True,True,False
1,3,28.0,0,0,7.75,1,1,7.75,False,True,False
0,3,28.0,2,0,21.6792,3,0,7.226400000000001,True,False,False
0,3,18.0,1,0,17.8,2,0,8.9,False,False,True
0,3,7.0,4,1,39.6875,6,0,6.614583333333333,True,False,True
0,3,21.0,0,0,7.8,1,1,7.8,True,False,True
1,1,49.0,1,0,76.7292,2,0,38.3646,False,False,False
1,2,29.0,1,0,26.0,2,0,13.0,False,False,True
0,1,65.0,0,1,61.9792,2,0,30.9896,True,False,False
1,1,28.0,0,0,35.5,1,1,35.5,True,False,True
1,2,21.0,0,0,10.5,1,1,10.5,False,False,True
0,3,28.5,0,0,7.2292,1,1,7.2292,True,False,False
1,2,5.0,1,2,27.75,4,0,6.9375,False,False,True
0,3,11.0,5,2,46.9,8,0,5.8625,True,False,True
0,3,22.0,0,0,7.2292,1,1,7.2292,True,False,False
0,1,45.0,1,0,83.475,2,0,41.7375,True,False,True
0,3,4.0,3,2,27.9,6,0,4.6499999999999995,True,False,True
0,1,28.0,0,0,27.7208,1,1,27.7208,True,False,False
1,3,28.0,1,1,15.2458,3,0,5.081933333333333,True,False,False
1,2,29.0,0,0,10.5,1,1,10.5,False,False,True
0,3,19.0,0,0,8.1583,1,1,8.1583,True,False,True
1,3,17.0,4,2,7.925,7,0,1.1321428571428571,False,False,True
0,3,26.0,2,0,8.6625,3,0,2.8874999999999997,True,False,True
0,2,32.0,0,0,10.5,1,1,10.5,True,False,True
0,3,16.0,5,2,46.9,8,0,5.8625,False,False,True
0,2,21.0,0,0,73.5,1,1,73.5,True,False,True
0,3,26.0,1,0,14.4542,2,0,7.2271,True,False,False
1,3,32.0,0,0,56.4958,1,1,56.4958,True,False,True
0,3,25.0,0,0,7.65,1,1,7.65,True,False,True
0,3,28.0,0,0,7.8958,1,1,7.8958,True,False,True
0,3,28.0,0,0,8.05,1,1,8.05,True,False,True
1,2,0.83,0,2,29.0,3,0,9.666666666666666,True,False,True
1,3,30.0,0,0,12.475,1,1,12.475,False,False,True
0,3,22.0,0,0,9.0,1,1,9.0,True,False,True
1,3,29.0,0,0,9.5,1,1,9.5,True,False,True
1,3,28.0,0,0,7.7875,1,1,7.7875,False,True,False
0,1,28.0,0,0,47.1,1,1,47.1,True,False,True
1,2,17.0,0,0,10.5,1,1,10.5,False,False,True
1,3,33.0,3,0,15.85,4,0,3.9625,False,False,True
0,3,16.0,1,3,34.375,5,0,6.875,True,False,True
0,3,28.0,0,0,8.05,1,1,8.05,True,False,True
1,1,23.0,3,2,263.0,6,0,43.833333333333336,False,False,True
0,3,24.0,0,0,8.05,1,1,8.05,True,False,True
0,3,29.0,0,0,8.05,1,1,8.05,True,False,True
0,3,20.0,0,0,7.8542,1,1,7.8542,True,False,True
0,1,46.0,1,0,61.175,2,0,30.5875,True,False,True
0,3,26.0,1,2,20.575,4,0,5.14375,True,False,True
0,3,59.0,0,0,7.25,1,1,7.25,True,False,True
0,3,28.0,0,0,8.05,1,1,8.05,True,False,True
0,1,71.0,0,0,34.6542,1,1,34.6542,True,False,False
1,1,23.0,0,1,63.3583,2,0,31.67915,True,False,False
1,2,34.0,0,1,23.0,2,0,11.5,False,False,True
0,2,34.0,1,0,26.0,2,0,13.0,True,False,True
0,3,28.0,0,0,7.8958,1,1,7.8958,False,False,True
0,3,28.0,0,0,7.8958,1,1,7.8958,True,False,True
0,1,21.0,0,1,77.2875,2,0,38.64375,True,False,True
0,3,33.0,0,0,8.6542,1,1,8.6542,True,False,True
0,3,37.0,2,0,7.925,3,0,2.6416666666666666,True,False,True
0,3,28.0,0,0,7.8958,1,1,7.8958,True,False,True
1,3,21.0,0,0,7.65,1,1,7.65,False,False,True
1,3,28.0,0,0,7.775,1,1,7.775,True,False,True
0,3,38.0,0,0,7.8958,1,1,7.8958,True,False,True
1,3,28.0,1,0,24.15,2,0,12.075,False,True,False
0,1,47.0,0,0,52.0,1,1,52.0,True,False,True
0,3,14.5,1,0,14.4542,2,0,7.2271,False,False,False
0,3,22.0,0,0,8.05,1,1,8.05,True,False,True
0,3,20.0,1,0,9.825,2,0,4.9125,False,False,True
0,3,17.0,0,0,14.4583,1,1,14.4583,False,False,False
0,3,21.0,0,0,7.925,1,1,7.925,True,False,True
0,3,70.5,0,0,7.75,1,1,7.75,True,True,False
0,2,29.0,1,0,21.0,2,0,10.5,True,False,True
0,1,24.0,0,1,247.5208,2,0,123.7604,True,False,False
0,3,2.0,4,2,31.275,7,0,4.4678571428571425,False,False,True
0,2,21.0,2,0,73.5,3,0,24.5,True,False,True
0,3,28.0,0,0,8.05,1,1,8.05,True,False,True
0,2,32.5,1,0,30.0708,2,0,15.0354,True,False,False
1,2,32.5,0,0,13.0,1,1,13.0,False,False,True
0,1,54.0,0,1,77.2875,2,0,38.64375,True,False,True
1,3,12.0,1,0,11.2417,2,0,5.62085,True,False,False
0,3,28.0,0,0,7.75,1,1,7.75,True,True,False
1,3,24.0,0,0,7.1417,1,1,7.1417,True,False,True
1,3,28.0,1,1,22.3583,3,0,7.452766666666666,False,False,False
0,3,45.0,0,0,6.975,1,1,6.975,True,False,True
0,3,33.0,0,0,7.8958,1,1,7.8958,True,False,False
0,3,20.0,0,0,7.05,1,1,7.05,True,False,True
0,3,47.0,1,0,14.5,2,0,7.25,False,False,True
1,2,29.0,1,0,26.0,2,0,13.0,False,False,True
0,2,25.0,0,0,13.0,1,1,13.0,True,False,True
0,2,23.0,0,0,15.0458,1,1,15.0458,True,False,False
1,1,19.0,0,2,26.2833,3,0,8.7611,False,False,True
0,1,37.0,1,0,53.1,2,0,26.55,True,False,True
0,3,16.0,0,0,9.2167,1,1,9.2167,True,False,True
0,1,24.0,0,0,79.2,1,1,79.2,True,False,False
0,3,28.0,0,2,15.2458,3,0,5.081933333333333,False,False,False
1,3,22.0,0,0,7.75,1,1,7.75,False,False,True
1,3,24.0,1,0,15.85,2,0,7.925,False,False,True
0,3,19.0,0,0,6.75,1,1,6.75,True,True,False
0,2,18.0,0,0,11.5,1,1,11.5,True,False,True
0,2,19.0,1,1,36.75,3,0,12.25,True,False,True
1,3,27.0,0,0,7.7958,1,1,7.7958,True,False,True
0,3,9.0,2,2,34.375,5,0,6.875,False,False,True
0,2,36.5,0,2,26.0,3,0,8.666666666666666,True,False,True
0,2,42.0,0,0,13.0,1,1,13.0,True,False,True
0,2,51.0,0,0,12.525,1,1,12.525,True,False,True
1,1,22.0,1,0,66.6,2,0,33.3,False,False,True
0,3,55.5,0,0,8.05,1,1,8.05,True,False,True
0,3,40.5,0,2,14.5,3,0,4.833333333333333,True,False,True
0,3,28.0,0,0,7.3125,1,1,7.3125,True,False,True
0,1,51.0,0,1,61.3792,2,0,30.6896,True,False,False
1,3,16.0,0,0,7.7333,1,1,7.7333,False,True,False
0,3,30.0,0,0,8.05,1,1,8.05,True,False,True
0,3,28.0,0,0,8.6625,1,1,8.6625,True,False,True
0,3,28.0,8,2,69.55,11,0,6.322727272727272,True,False,True
0,3,44.0,0,1,16.1,2,0,8.05,True,False,True
1,2,40.0,0,0,15.75,1,1,15.75,False,False,True
0,3,26.0,0,0,7.775,1,1,7.775,True,False,True
0,3,17.0,0,0,8.6625,1,1,8.6625,True,False,True
0,3,1.0,4,1,39.6875,6,0,6.614583333333333,True,False,True
1,3,9.0,0,2,20.525,3,0,6.841666666666666,True,False,True
1,1,28.0,0,1,55.0,2,0,27.5,False,False,True
0,3,45.0,1,4,27.9,6,0,4.6499999999999995,False,False,True
0,1,28.0,0,0,25.925,1,1,25.925,True,False,True
0,3,28.0,0,0,56.4958,1,1,56.4958,True,False,True
0,1,61.0,0,0,33.5,1,1,33.5,True,False,True
0,3,4.0,4,1,29.125,6,0,4.854166666666667,True,True,False
1,3,1.0,1,1,11.1333,3,0,3.7111,False,False,True
0,3,21.0,0,0,7.925,1,1,7.925,True,False,True
0,1,56.0,0,0,30.6958,1,1,30.6958,True,False,False
0,3,18.0,1,1,7.8542,3,0,2.6180666666666665,True,False,True
0,3,28.0,3,1,25.4667,5,0,5.0933399999999995,True,False,True
0,1,50.0,0,0,28.7125,1,1,28.7125,False,False,False
0,2,30.0,0,0,13.0,1,1,13.0,True,False,True
0,3,36.0,0,0,0.0,1,1,0.0,True,False,True
0,3,28.0,8,2,69.55,11,0,6.322727272727272,False,False,True
0,2,28.0,0,0,15.05,1,1,15.05,True,False,False
0,3,9.0,4,2,31.3875,7,0,4.483928571428572,True,False,True
1,2,1.0,2,1,39.0,4,0,9.75,True,False,True
1,3,4.0,0,2,22.025,3,0,7.341666666666666,False,False,True
0,1,28.0,0,0,50.0,1,1,50.0,True,False,True
1,3,28.0,1,0,15.5,2,0,7.75,False,True,False
1,1,45.0,0,0,26.55,1,1,26.55,True,False,True
0,3,40.0,1,1,15.5,3,0,5.166666666666667,True,True,False
0,3,36.0,0,0,7.8958,1,1,7.8958,True,False,True
1,2,32.0,0,0,13.0,1,1,13.0,False,False,True
0,2,19.0,0,0,13.0,1,1,13.0,True,False,True
1,3,19.0,1,0,7.8542,2,0,3.9271,False,False,True
1,2,3.0,1,1,26.0,3,0,8.666666666666666,True,False,True
1,1,44.0,0,0,27.7208,1,1,27.7208,False,False,False
1,1,58.0,0,0,146.5208,1,1,146.5208,False,False,False
0,3,28.0,0,0,7.75,1,1,7.75,True,True,False
0,3,42.0,0,1,8.4042,2,0,4.2021,True,False,True
1,3,28.0,0,0,7.75,1,1,7.75,False,True,False
0,2,24.0,0,0,13.0,1,1,13.0,False,False,True
0,3,28.0,0,0,9.5,1,1,9.5,True,False,True
0,3,28.0,8,2,69.55,11,0,6.322727272727272,True,False,True
0,3,34.0,0,0,6.4958,1,1,6.4958,True,False,True
0,3,45.5,0,0,7.225,1,1,7.225,True,False,False
1,3,18.0,0,0,8.05,1,1,8.05,True,False,True
0,3,2.0,0,1,10.4625,2,0,5.23125,False,False,True
0,3,32.0,1,0,15.85,2,0,7.925,True,False,True
1,3,26.0,0,0,18.7875,1,1,18.7875,True,False,False
1,3,16.0,0,0,7.75,1,1,7.75,False,True,False
1,1,40.0,0,0,31.0,1,1,31.0,True,False,False
0,3,24.0,0,0,7.05,1,1,7.05,True,False,True
1,2,35.0,0,0,21.0,1,1,21.0,False,False,True
0,3,22.0,0,0,7.25,1,1,7.25,True,False,True
0,2,30.0,0,0,13.0,1,1,13.0,True,False,True
0,3,28.0,1,0,7.75,2,0,3.875,True,True,False
1,1,31.0,1,0,113.275,2,0,56.6375,False,False,False
1,3,27.0,0,0,7.925,1,1,7.925,False,False,True
0,2,42.0,1,0,27.0,2,0,13.5,True,False,True
1,1,32.0,0,0,76.2917,1,1,76.2917,False,False,False
0,2,30.0,0,0,10.5,1,1,10.5,True,False,True
1,3,16.0,0,0,8.05,1,1,8.05,True,False,True
0,2,27.0,0,0,13.0,1,1,13.0,True,False,True
0,3,51.0,0,0,8.05,1,1,8.05,True,False,True
0,3,28.0,0,0,7.8958,1,1,7.8958,True,False,True
1,1,38.0,1,0,90.0,2,0,45.0,True,False,True
0,3,22.0,0,0,9.35,1,1,9.35,True,False,True
1,2,19.0,0,0,10.5,1,1,10.5,True,False,True
0,3,20.5,0,0,7.25,1,1,7.25,True,False,True
0,2,18.0,0,0,13.0,1,1,13.0,True,False,True
0,3,28.0,3,1,25.4667,5,0,5.0933399999999995,False,False,True
1,1,35.0,1,0,83.475,2,0,41.7375,False,False,True
0,3,29.0,0,0,7.775,1,1,7.775,True,False,True
0,2,59.0,0,0,13.5,1,1,13.5,True,False,True
1,3,5.0,4,2,31.3875,7,0,4.483928571428572,False,False,True
0,2,24.0,0,0,10.5,1,1,10.5,True,False,True
0,3,28.0,0,0,7.55,1,1,7.55,False,False,True
0,2,44.0,1,0,26.0,2,0,13.0,True,False,True
1,2,8.0,0,2,26.25,3,0,8.75,False,False,True
0,2,19.0,0,0,10.5,1,1,10.5,True,False,True
0,2,33.0,0,0,12.275,1,1,12.275,True,False,True
0,3,28.0,1,0,14.4542,2,0,7.2271,False,False,False
1,3,28.0,1,0,15.5,2,0,7.75,False,True,False
0,2,29.0,0,0,10.5,1,1,10.5,True,False,True
0,3,22.0,0,0,7.125,1,1,7.125,True,False,True
0,3,30.0,0,0,7.225,1,1,7.225,True,False,False
0,1,44.0,2,0,90.0,3,0,30.0,True,True,False
0,3,25.0,0,0,7.775,1,1,7.775,False,False,True
1,2,24.0,0,2,14.5,3,0,4.833333333333333,False,False,True
1,1,37.0,1,1,52.5542,3,0,17.518066666666666,True,False,True
0,2,54.0,1,0,26.0,2,0,13.0,True,False,True
0,3,28.0,0,0,7.25,1,1,7.25,True,False,True
0,3,29.0,1,1,10.4625,3,0,3.4875000000000003,False,False,True
0,1,62.0,0,0,26.55,1,1,26.55,True,False,True
0,3,30.0,1,0,16.1,2,0,8.05,True,False,True
0,3,41.0,0,2,20.2125,3,0,6.7375,False,False,True
1,3,29.0,0,2,15.2458,3,0,5.081933333333333,False,False,False
1,1,28.0,0,0,79.2,1,1,79.2,False,False,False
1,1,30.0,0,0,86.5,1,1,86.5,False,False,True
1,1,35.0,0,0,512.3292,1,1,512.3292,False,False,False
1,2,50.0,0,1,26.0,2,0,13.0,False,False,True
0,3,28.0,0,0,7.75,1,1,7.75,True,True,False
1,3,3.0,4,2,31.3875,7,0,4.483928571428572,True,False,True
0,1,52.0,1,1,79.65,3,0,26.55,True,False,True
0,1,40.0,0,0,0.0,1,1,0.0,True,False,True
0,3,28.0,0,0,7.75,1,1,7.75,False,True,False
0,2,36.0,0,0,10.5,1,1,10.5,True,False,True
0,3,16.0,4,1,39.6875,6,0,6.614583333333333,True,False,True
1,3,25.0,1,0,7.775,2,0,3.8875,True,False,True
1,1,58.0,0,1,153.4625,2,0,76.73125,False,False,True
1,1,35.0,0,0,135.6333,1,1,135.6333,False,False,True
0,1,28.0,0,0,31.0,1,1,31.0,True,False,True
1,3,25.0,0,0,0.0,1,1,0.0,True,False,True
1,2,41.0,0,1,19.5,2,0,9.75,False,False,True
0,1,37.0,0,1,29.7,2,0,14.85,True,False,False
1,3,28.0,0,0,7.75,1,1,7.75,False,True,False
1,1,63.0,1,0,77.9583,2,0,38.97915,False,False,True
0,3,45.0,0,0,7.75,1,1,7.75,False,False,True
0,2,28.0,0,0,0.0,1,1,0.0,True,False,True
0,3,7.0,4,1,29.125,6,0,4.854166666666667,True,True,False
1,3,35.0,1,1,20.25,3,0,6.75,False,False,True
0,3,65.0,0,0,7.75,1,1,7.75,True,True,False
0,3,28.0,0,0,7.8542,1,1,7.8542,True,False,True
0,3,16.0,0,0,9.5,1,1,9.5,True,False,True
1,3,19.0,0,0,8.05,1,1,8.05,True,False,True
0,1,28.0,0,0,26.0,1,1,26.0,True,False,True
0,3,33.0,0,0,8.6625,1,1,8.6625,True,False,False
1,3,30.0,0,0,9.5,1,1,9.5,True,False,True
0,3,22.0,0,0,7.8958,1,1,7.8958,True,False,True
1,2,42.0,0,0,13.0,1,1,13.0,True,False,True
1,3,22.0,0,0,7.75,1,1,7.75,False,True,False
1,1,26.0,0,0,78.85,1,1,78.85,False,False,True
1,1,19.0,1,0,91.0792,2,0,45.5396,False,False,False
0,2,36.0,0,0,12.875,1,1,12.875,True,False,False
0,3,24.0,0,0,8.85,1,1,8.85,False,False,True
